Size_Bytes,Pageable_HtoD_MBps,Pageable_DtoH_MBps,Pinned_HtoD_MBps,Pinned_DtoH_MBps
1,0.10,0.08,0.09,0.09
2,0.20,0.16,0.18,0.18
4,0.41,0.33,0.35,0.37
8,0.82,0.65,0.71,0.72
16,1.53,1.21,1.34,1.35
32,3.16,2.51,2.68,2.80
64,6.46,5.08,5.18,5.84
128,12.74,10.18,11.39,11.72
256,25.60,20.09,22.85,23.32
512,51.44,40.77,45.51,46.54
1024,101.26,81.20,90.32,94.02
2048,196.77,160.77,183.37,187.85
4096,386.84,314.05,359.90,367.68
8192,745.10,596.41,714.63,663.55
16384,1319.11,1125.38,1404.64,1467.06
32768,2278.55,2033.11,2752.51,2875.29
65536,3643.01,3325.15,5249.63,4954.15
131072,5857.76,4934.38,9614.44,9763.67
262144,8143.79,6562.98,16021.70,16199.77
524288,10369.38,8180.63,25131.08,25320.46
1048576,11824.98,10480.77,33871.30,33724.36
2097152,14067.83,13883.89,41812.45,41737.90
4194304,18153.22,15685.66,47360.15,46604.40
8388608,20968.14,19057.75,51103.95,49147.29
16777216,21802.94,19163.85,53153.32,51665.12
33554432,22441.30,19659.35,53970.27,53039.03
67108864,22699.78,19372.44,54327.81,53489.81
