M,N,K,library,tflops
128,512,512,cublas,0.643677
128,4096,4096,cublas,162.644
128,14336,4096,cublas,227.832
128,4096,1024,cublas,60.8394
128,1024,4096,cublas,96.3952
256,512,512,cublas,12.2027
256,4096,4096,cublas,269.954
256,14336,4096,cublas,467.144
256,4096,1024,cublas,141.218
256,1024,4096,cublas,173.264
384,512,512,cublas,19.6249
384,4096,4096,cublas,326.774
384,14336,4096,cublas,537.839
384,4096,1024,cublas,168.226
384,1024,4096,cublas,246.112
512,512,512,cublas,24.9119
512,4096,4096,cublas,468.751
512,14336,4096,cublas,658.437
512,4096,1024,cublas,257.026
512,1024,4096,cublas,311.159
640,512,512,cublas,40.9334
640,4096,4096,cublas,515.48
640,14336,4096,cublas,694.07
640,4096,1024,cublas,245.83
640,1024,4096,cublas,349.642
768,512,512,cublas,35.483
768,4096,4096,cublas,631.453
768,14336,4096,cublas,716.453
768,4096,1024,cublas,284.128
768,1024,4096,cublas,387.812
896,512,512,cublas,54.7456
896,4096,4096,cublas,599.692
896,14336,4096,cublas,658.261
896,4096,1024,cublas,327.1
896,1024,4096,cublas,243.9
1024,512,512,cublas,64.0968
1024,4096,4096,cublas,688.072
1024,14336,4096,cublas,737.9
1024,4096,1024,cublas,417.247
1024,1024,4096,cublas,441.566
1152,512,512,cublas,55.5809
1152,4096,4096,cublas,664.868
1152,14336,4096,cublas,673.865
1152,4096,1024,cublas,339.873
1152,1024,4096,cublas,455.389
1280,512,512,cublas,64.2049
1280,4096,4096,cublas,700.851
1280,14336,4096,cublas,734.801
1280,4096,1024,cublas,363.42
1280,1024,4096,cublas,480.042
1408,512,512,cublas,60.7565
1408,4096,4096,cublas,602.041
1408,14336,4096,cublas,611.073
1408,4096,1024,cublas,402.785
1408,1024,4096,cublas,467.878
1536,512,512,cublas,94.0482
1536,4096,4096,cublas,711.403
1536,14336,4096,cublas,717.437
1536,4096,1024,cublas,491.494
1536,1024,4096,cublas,510.348
1664,512,512,cublas,95.7525
1664,4096,4096,cublas,573.189
1664,14336,4096,cublas,602.234
1664,4096,1024,cublas,450.687
1664,1024,4096,cublas,452.559
1792,512,512,cublas,100.367
1792,4096,4096,cublas,646.608
1792,14336,4096,cublas,677.024
1792,4096,1024,cublas,486.583
1792,1024,4096,cublas,496.513
1920,512,512,cublas,107.194
1920,4096,4096,cublas,658.008
1920,14336,4096,cublas,664.272
1920,4096,1024,cublas,517.688
1920,1024,4096,cublas,516.767
2048,512,512,cublas,116.964
2048,4096,4096,cublas,711.276
2048,14336,4096,cublas,721.817
2048,4096,1024,cublas,584.698
2048,1024,4096,cublas,559.855
