batch_size,prefill_time,decode_time,total_time,throughput,prefill_ln_attn,prefill_qkv_proj,prefill_rope,prefill_kv_append,prefill_attn_kernel,prefill_o_proj,prefill_ln_ffn,prefill_ffn,prefill_total,prefill_embedding,prefill_logits,prefill_fine_input_tensor,prefill_fine_kv_cache_alloc,prefill_fine_kv_metadata,prefill_fine_planning,prefill_fine_embedding,prefill_fine_layers,prefill_fine_logits,prefill_fine_total
1,0.012375369027722627,1.47266669862438,1.4850420676521026,172.38568898236258,0.0012379948166199028,0.0015628640539944172,0.00042196601862087846,0.0021976419957354665,0.0011305971420370042,0.0011050081229768693,0.0014581741415895522,0.0022417480358853936,0.0113782839034684,2.113997470587492e-05,0.0001124989939853549,4.363904008641839e-05,3.0210008844733238e-05,3.7929974496364594e-05,0.00023489899467676878,2.113997470587492e-05,0.0113782839034684,0.0001124989939853549,0.011908381013199687
2,0.012793936009984463,1.5056852894485928,1.5184792254585773,337.1794565351246,0.00124966207658872,0.0016510308487340808,0.0004284281167201698,0.0022090269485488534,0.0011368721025064588,0.0012382219429127872,0.0014727349625900388,0.0021973460679873824,0.01160656294086948,2.1790037862956524e-05,0.00011974998051300645,4.843994975090027e-05,3.220001235604286e-05,4.1390012484043837e-05,0.00040214700857177377,2.1790037862956524e-05,0.01160656294086948,0.00011974998051300645,0.012322749011218548
4,0.012754625990055501,1.4982955831219442,1.5110502091119997,677.6743709937839,0.0012561141047626734,0.0016443590284325182,0.00043200707295909524,0.002202626841608435,0.0011200850713066757,0.0012334320927038789,0.0014717312878929079,0.0023155079688876867,0.011698023066855967,2.2810010705143213e-05,0.00010681897401809692,5.308899562805891e-05,3.540999023243785e-05,4.610000178217888e-05,0.00023292796686291695,2.2810010705143213e-05,0.011698023066855967,0.00010681897401809692,0.012246659025549889
8,0.013302003033459187,1.5113630269188434,1.5246650299523026,1343.2458669718878,0.001211072609294206,0.0016519451746717095,0.00041172915371134877,0.002199851267505437,0.001099193177651614,0.0012124657514505088,0.0014624230097979307,0.0021698542404919863,0.011440714006312191,2.208002842962742e-05,0.00010411901166662574,5.635002162307501e-05,3.9759965147823095e-05,4.695000825449824e-05,0.0002321579959243536,2.208002842962742e-05,0.011440714006312191,0.00010411901166662574,0.01199740101583302
16,0.019009130948688835,1.5150046396884136,1.5340137706371024,2670.11944638467,0.0012455249088816345,0.001682590926066041,0.00041937618516385555,0.002230106038041413,0.0011200369917787611,0.0012121621402911842,0.001472748932428658,0.0023315971484407783,0.011736313055735081,2.2468972019851208e-05,9.90589614957571e-05,6.236002082005143e-05,4.725903272628784e-05,5.614996189251542e-05,0.0002456689835526049,2.2468972019851208e-05,0.011736313055735081,9.90589614957571e-05,0.012322028982453048
32,0.030192286998499185,1.5249746347544715,1.5551669217529707,5267.601750920762,0.0012758519733324647,0.001722630113363266,0.0004390191752463579,0.002247947850264609,0.0011479109525680542,0.0012462742161005735,0.00148200208786875,0.002498435089364648,0.012082691071555018,2.3829983547329903e-05,0.00012144999345764518,6.739899981766939e-05,6.155000301077962e-05,7.06890132278204e-05,0.0003310480387881398,2.3829983547329903e-05,0.012082691071555018,0.00012144999345764518,0.012811366992536932
64,0.05350028397515416,1.551928898668848,1.6054291826440021,10205.370736451283,0.0012619338231161237,0.0016945599345490336,0.00042918615508824587,0.002247587137389928,0.0011236458085477352,0.0012273529428057373,0.0014692101976834238,0.002484886033926159,0.011961612093728036,2.693000715225935e-05,0.00010537001071497798,8.535996312275529e-05,9.525899076834321e-05,0.00010200001997873187,0.0004424270009621978,2.693000715225935e-05,0.011961612093728036,0.00010537001071497798,0.012874987034592777
128,0.10730154602788389,1.6562249071430415,1.7635264531709254,18580.951786167534,0.0012665829854086041,0.0018670270219445229,0.00043968798127025366,0.002278617932461202,0.0011432030005380511,0.0013860220205970109,0.0014847799902781844,0.0024781989050097764,0.012368629861157387,3.409001510590315e-05,0.00011039897799491882,0.0001235289964824915,0.00016267900355160236,0.00017462903633713722,0.000566196977160871,3.409001510590315e-05,0.012368629861157387,0.00011039897799491882,0.013601601996924728
256,0.2177586339530535,2.0859378511086106,2.303696485061664,28448.192036133514,0.001287322025746107,0.0018662270158529282,0.0004343300824984908,0.002290058066137135,0.0011311639100313187,0.0013655711081810296,0.0014747408567927778,0.0025547067052684724,0.012427518900949508,3.8628990296274424e-05,0.00012199004413560033,0.00019352900562807918,0.0002916379598900676,0.00029732799157500267,0.0008027160074561834,3.8628990296274424e-05,0.012427518900949508,0.00012199004413560033,0.01423126895679161
512,0.4338987899827771,3.2051921740639955,3.6390909640467726,36017.78611608109,0.006723441765643656,0.0026083551347255707,0.0007411350379697978,0.002561005065217614,0.0014466726570390165,0.0028855649288743734,0.004561613081023097,0.008602740068454295,0.030154557956848294,5.367002449929714e-05,0.005929965001996607,0.00036381802055984735,0.0005712370038963854,0.0005844660336151719,0.0010366440401412547,5.367002449929714e-05,0.030154557956848294,0.005929965001996607,0.038766048033721745
1024,0.8889681420405395,5.636770965706091,6.525739107746631,40170.775397504294,0.013240314146969467,0.021405278879683465,0.01413711003260687,0.0033572109532542527,0.0014143200241960585,0.003329151077196002,0.007687854638788849,0.015184073999989778,0.07978084380738437,5.889899330213666e-05,0.017958897980861366,0.0006706060376018286,0.0011187840136699378,0.001194312993902713,0.0019690989865921438,5.889899330213666e-05,0.07978084380738437,0.017958897980861366,0.1028302030172199
