batch_size,prefill_time,decode_time,total_time,throughput
1,0.0,0.0,1.4674627685546875,174.45076323955794
2,0.0,0.0,1.541274169921875,332.1926818678552
4,0.0,0.0,1.517796630859375,674.6621906916555
8,0.0,0.0,1.5130662841796876,1353.5428166059016
16,0.0,0.0,1.64045751953125,2496.8644120515874
32,0.0,0.0,1.5702054443359375,5217.151697919704
64,0.0,0.0,1.6150496826171874,10144.579560827959
128,0.0,0.0,1.8219075927734374,17985.544453502287
256,0.0,0.0,2.413967529296875,27148.666750744946
512,0.0,0.0,3.84933642578125,34050.544172271984
1024,0.0,0.0,6.97399462890625,37588.787194278746
